类目id,类目名称,淘宝主采集词数,淘宝副采集词数,京东主采集词数,京东副采集词数,主采集词,副采集词
,高跟鞋,,,,,松糕鞋、坡跟鞋、防水台、高跟鞋女,
,休闲运动鞋,,,,,休闲运动鞋女,
,皮鞋靴子,,,,,雪地靴、马丁靴、踝靴、内增高、皮鞋女、靴子女、雨鞋、雨靴,
,凉鞋拖鞋,,,,,拖鞋女、人字拖女、凉鞋女、拖鞋女,
,休闲鞋,,,,,帆布鞋、小白鞋男、增高鞋男、功能鞋男、传统布鞋男、工装鞋男、鞋配件男,休闲鞋男
,休闲皮鞋,,,,,休闲皮鞋男、男靴,
,凉鞋拖鞋,,,,,凉鞋男、拖鞋男、人字拖男、沙滩拖鞋男、雨鞋男,
,正装鞋,,,,,正装鞋男、商务休闲鞋男,
,休闲运动鞋,,,,,休闲运动鞋男,
,女士包,,,,,真皮包女、单肩包女、手提包女、斜挎包女、双肩包女、钱包女、手拿包女、卡包/零钱包女、钥匙包女,
,男士包,,,,,男士钱包、双肩包男、单肩包男、斜挎包男、商务公文包男、男士手包、卡包男、名片夹男、钥匙包男,
,商务包,,,,,电脑包、商务包、公文包,
,休闲运动包,,,,,休闲运动包、登山包、腰包/胸包、,
,旅行箱包,,,,,拉杆箱、拉杆包、旅行包、书包、旅行配件,
,女士内衣,,,,,文胸、胸罩、胸贴、胸垫搭扣、抹胸、内裤女、保暖内衣女,
,男士内衣,,,,,内裤男、保暖内衣男,
,家居服,,,,,睡衣、睡裙、睡袍、睡裤,家居服
,袜子,,,,,男袜、女袜、童袜,袜子
,塑形内衣,,,,,连身衣塑形、分体塑形、塑身腰封,塑形内衣
,服饰搭配,,,,,帽子、围巾、腰带、丝巾领带、手套、胸针、袖扣,
,潮搭配饰,,,,,项链、耳饰、手链、戒指、发饰、手串、脚链,
,手表,,,,,瑞表、国表、日韩表、欧美表、德表、儿童手表、智能手表、闹钟、挂钟、座钟、钟表配件、钟表维修,手表、腕表
,珠宝,,,,,黄金、银饰、和田玉、钻石、翡翠、珍珠、琥珀、宝石,
,眼镜,,,,,太阳镜、墨镜、光学眼镜、防蓝光眼镜、老花镜、近视镜、远视镜,
,上衣,,,,,T恤男、POLO衫男、衬衫男、背心男、卫衣男、针织衫男、毛衣男,上衣男
,外套,,,,,夹克男、棒球服男、棉衣男、毛呢大衣男、风衣男、休闲西服男、羽绒服男、皮衣男、运动服男、工装外套男、针织开衫男、马甲男,外套男
,男裤,,,,,小脚裤男、9分裤男、短裤男、长裤男、休闲裤男、牛仔裤男、针织裤男、休闲西裤男、运动裤男、工装裤男,男裤
,正装,,,,,正装男、西服套装男,
,特色男装,,,,,汉服男、中老年男装、中山装、唐装男,
,健身器材,,,,,跑步机、动感单车、健身车、椭圆机、综合训练器、划船机、甩脂机、倒立机、踏步机、哑铃、仰卧板、收腹机、运动护具、健腹轮、拉力器、臂力器、跳绳、引体向上器,健身器材
,球类运动,,,,,乒乓球、羽毛球、篮球、足球、轮滑、滑板、网球、高尔夫、台球、排球,
,瑜伽舞蹈,,,,,瑜伽用品、舞蹈用品,
,运动鞋服,,,,,运动鞋、篮球鞋、跑步鞋、足球鞋、训练鞋、运动服、运动套装、运动配饰、健身服、运动背心、运动内衣、泳衣、泳镜、泳帽、游泳包、游泳圈,
,户外装备,,,,,户外垂钓、户外骑行、野营、登山徒步、户外烧烤、户外露营、潜水冲浪、户外鞋服,
,车载电器,,,,,行车记录仪、车载充电器、车机导航、车载蓝牙、智能驾驶、对讲电台、倒车雷达、导航仪、汽车安全预警仪、车载净化器、车载吸尘器、汽车音响、车载冰箱、汽车应急电源、逆变器、车载影音、车载生活电器、车载电器配件,
,维修保养,,,,,汽机油、轮胎、汽车添加剂、防冻液、滤清器、汽车蓄电池、变速箱油/滤、雨刷、刹车片/盘、火花塞、车灯、轮毂、汽车维修配件、汽车玻璃、减震器、正时皮带、汽车喇叭、汽修工具、汽车改装配件、汽车原厂件、底盘装甲/护板、车载灭火器,
,美容清洁,,,,,洗车机、洗车水枪、玻璃水、汽车清洁剂、镀晶镀膜、车蜡、汽车贴膜、补漆笔、洗车毛巾掸子、洗车配件,
,汽车内饰,,,,,汽车座垫座套、汽车脚垫、汽车头枕腰靠、方向盘套、后备箱垫、车载支架、车钥匙扣、汽车香水、汽车炭包/净化剂、扶手箱、挂件摆件、车用收纳袋/盒、装饰灯、安全座椅,
,汽车外饰,,,,,遮阳/雪挡、车衣、车贴、踏板、汽车行李架/箱、雨眉、汽车装饰条、车身装饰件,
,图书杂志,,,,,儿童读物、小说、文学文艺、社科生活、互联网科技、育儿书、考试用书、教材教辅、经管励志、期刊杂志、进口原版书,图书、教材、杂志、期刊
,文具教具,,,,,笔记本、笔袋、文具收纳、笔、台历挂历、书法画材、装订用品、财会用品、便签、计算器,
,办公仪器,,,,,打印复印机、传真机、投影设备、办公一体机、扫描仪、安防监控、会议设备、收银机、投票器、条码设备、考勤门禁、保险柜、封装机、碎纸机,
,办公耗材,,,,,办公室铭牌、硒鼓/墨粉、墨盒、色带、办公用纸、刻录光盘,办公耗材
,书法画具,,,,,画具画材、文房四宝、颜料,书法用品、美术用品
,大家电,,,,,电视、空调、冰箱、冷柜、洗衣机、家庭影院、大家电配件,
,厨房小电器,,,,,电磁炉、电饼铛、垃圾处理器、豆浆机、电饭煲、微波炉、电水壶、电压锅、榨汁机、面包机、料理机、咖啡机、电热烧烤炉、煮蛋器、酸奶机、电烤箱、电炖锅、电炸锅、豆芽机、电火锅、面条机、厨师机、冰淇淋机,厨房小电器、宿舍厨房电器
,厨房大电器,,,,,嵌入式烤箱、热水器、烟机灶具、洗碗机、消毒柜,
,生活电器,,,,,加湿器、除湿器、除螨仪、饮水机、电话机、电风扇、吸尘器、熨衣干衣、净水设备、收音录音、取暖电器、空气净化器,
,个护健康,,,,,美容器、血压计、电子秤、电子体温计、按摩保健器、洁牙用具、血糖测量、剃须除毛、美发小家电,
,干粮零食,,,,,狗粮、猫粮、狗罐头、猫罐头、狗零食、猫零食、宠物羊奶粉、鱼粮饲料,
